Timestamp,3/16/2021 14:59:49,3/16/2021 15:02:42,3/16/2021 15:06:58,3/16/2021 15:35:46,3/16/2021 15:38:30,3/16/2021 15:42:00,3/16/2021 15:42:52,3/16/2021 15:46:52,3/16/2021 16:16:35,3/16/2021 16:27:52
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Other]",Feminine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Young]",Feminine,Neither/Neutral,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Small]",Feminine,Feminine,Feminine,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Little]",Feminine,Neither/Neutral,Feminine,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Own]",Masculine,Neither/Neutral,Neither/Neutral,Masculine,Feminine,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Old]",Masculine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Whole]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Good]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Right]",Masculine,Neither/Neutral,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Masculine,Feminine,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Free]",Masculine,Feminine,Neither/Neutral,Masculine,Feminine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Soft]",Feminine,Feminine,Feminine,Feminine,Feminine,Neither/Neutral,Feminine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Warm]",Feminine,Feminine,Masculine,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Left]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Entire]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Feminine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Haired]",Neither/Neutral,Neither/Neutral,Masculine,Feminine,Masculine,Neither/Neutral,Feminine,Masculine,Masculine,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Only]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [New]",Masculine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Beautiful]",Feminine,Feminine,Feminine,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Familiar]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Feminine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Pale]",Feminine,Feminine,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Feminine,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [First]",Masculine,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Dead]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Human]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Same]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Big]",Masculine,Masculine,Masculine,Masculine,Masculine,Neither/Neutral,Feminine,Feminine,Masculine,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Gentle]",Feminine,Feminine,Feminine,Feminine,Masculine,Neither/Neutral,Masculine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Bare]",Feminine,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Blonde]",Feminine,Feminine,Feminine,Feminine,Feminine,Neither/Neutral,Neither/Neutral,Feminine,Feminine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Sad]",Feminine,Neither/Neutral,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Pretty]",Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Neither/Neutral,Feminine,Feminine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Last]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Tall]",Masculine,Masculine,Masculine,Masculine,Masculine,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Low]",Feminine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Cas]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Naked]",Feminine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Second]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Deep]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Feminine,Masculine,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Sweet]",Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Half]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Upper]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Poor]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Bright]",Feminine,Feminine,Feminine,Feminine,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Full]",Masculine,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Feminine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Strange]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Different]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Wide]",Neither/Neutral,Masculine,Neither/Neutral,Masculine,Feminine,Neither/Neutral,Masculine,Masculine,Masculine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Handsome]",Masculine,Masculine,Masculine,Masculine,Feminine,Neither/Neutral,Feminine,Masculine,Masculine,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Sensitive]",Feminine,Feminine,Feminine,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Genuine]",Neither/Neutral,Feminine,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Large]",Masculine,Masculine,Masculine,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Masculine,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Smooth]",Feminine,Neither/Neutral,Feminine,Feminine,Feminine,Neither/Neutral,Feminine,Masculine,Masculine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Bad]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Reassuring]",Feminine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Shy]",Masculine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Quiet]",Masculine,Feminine,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Feminine,Feminine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Tired]",Masculine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Single]",Feminine,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Tiny]",Feminine,Feminine,Feminine,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Weak]",Feminine,Feminine,Feminine,Feminine,Masculine,Neither/Neutral,Masculine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Slight]",Feminine,Feminine,Feminine,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Fond]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Feminine,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Normal]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Brilliant]",Masculine,Masculine,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Eyed]",Neither/Neutral,Neither/Neutral,Masculine,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Smug]",Masculine,Masculine,Masculine,Masculine,Masculine,Neither/Neutral,Feminine,Feminine,Masculine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Real]",Masculine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Strong]",Masculine,Masculine,Masculine,Masculine,Masculine,Neither/Neutral,Masculine,Masculine,Masculine,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Tight]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Feminine,Feminine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Kind]",Feminine,Feminine,Feminine,Feminine,Feminine,Neither/Neutral,Masculine,Feminine,Feminine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Nice]",Feminine,Feminine,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Feminine,Feminine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Thin]",Feminine,Feminine,Feminine,Feminine,Masculine,Neither/Neutral,Masculine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Female]",Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Cold]",Feminine,Neither/Neutral,Feminine,Masculine,Masculine,Neither/Neutral,Feminine,Feminine,Masculine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Gorgeous]",Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Straight]",Masculine,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Broken]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Fake]",Feminine,Feminine,Feminine,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Friendly]",Masculine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Feminine,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Blond]",Masculine,Neither/Neutral,Masculine,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Masculine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Teenage]",Masculine,Neither/Neutral,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Firm]",Masculine,Neither/Neutral,Masculine,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Feminine,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Grown]",Masculine,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Shaky]",Feminine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [White]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Happy]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Looking]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Outstretched]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Rough]",Masculine,Masculine,Masculine,Masculine,Masculine,Neither/Neutral,Feminine,Masculine,Masculine,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Perfect]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Huge]",Masculine,Masculine,Masculine,Masculine,Feminine,Neither/Neutral,Feminine,Masculine,Masculine,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Faint]",Feminine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Feminine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Lovely]",Feminine,Feminine,Feminine,Feminine,Masculine,Feminine,Masculine,Feminine,Feminine,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Hot]",Feminine,Feminine,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Masculine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Unconscious]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Amused]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Apologetic]",Feminine,Feminine,Feminine,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Feminine,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Aged]",Masculine,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Feminine,Neither/Neutral,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Stupid]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Feminine
